City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Cotonou,BJ,2021-04-21 07:25:24,6.3654,2.4183,84.2,84,40,9.22
94,Gravdal,NO,2021-04-21 07:25:24,68.1214,13.5031,35.6,75,75,24.16
95,Horqueta,PY,2021-04-21 07:25:24,-23.3428,-57.0597,67.89,59,0,5.79
96,Moose Factory,CA,2021-04-21 07:25:25,51.2585,-80.6094,15.8,73,90,6.91
97,Port Elizabeth,ZA,2021-04-21 07:25:25,-33.918,25.5701,64.4,88,100,4.61
98,Bintulu,MY,2021-04-21 07:25:26,3.1667,113.0333,93.2,46,20,8.05
99,Puerto Escondido,MX,2021-04-21 07:25:26,15.85,-97.0667,78.57,64,100,4.81
100,Nyurba,RU,2021-04-21 07:25:27,63.2842,118.3319,25.54,66,100,6.33
101,Khandyga,RU,2021-04-21 07:25:27,62.6667,135.6,27.82,69,100,3.87
102,Kaitangata,NZ,2021-04-21 07:25:27,-46.2817,169.8464,50.79,94,100,7.54
103,Puerto Ayora,EC,2021-04-21 07:25:28,-0.7393,-90.3518,75.0,98,96,1.01
104,Kapit,MY,2021-04-21 07:25:28,2.0167,112.9333,94.96,40,38,3.47
105,Iqaluit,CA,2021-04-21 07:25:28,63.7506,-68.5145,23.0,86,90,28.77
106,Lagoa,PT,2021-04-21 07:25:29,39.05,-27.9833,61.07,91,100,15.39
107,Guerrero Negro,MX,2021-04-21 07:25:29,27.9769,-114.0611,58.14,84,0,11.7
108,Ilulissat,GL,2021-04-21 07:25:30,69.2167,-51.1,12.2,52,11,6.82
109,Mahebourg,MU,2021-04-21 07:25:30,-20.4081,57.7,82.4,74,75,11.5
110,Inawashiro,JP,2021-04-21 07:25:31,37.5667,140.1167,62.6,20,0,14.97
111,Ginda,IN,2021-04-21 07:25:31,30.6945,78.4932,68.49,32,100,5.17
112,Katsuura,JP,2021-04-21 07:25:32,35.1333,140.3,75.0,35,20,14.97
113,Saint-Pierre,RE,2021-04-21 07:25:32,-21.3393,55.4781,80.6,78,75,13.8
114,Garowe,SO,2021-04-21 07:25:32,8.4054,48.4845,85.1,51,77,8.57
115,Sistranda,NO,2021-04-21 07:25:33,63.7256,8.834,42.8,81,40,10.36
116,Te Anau,NZ,2021-04-21 07:25:33,-45.4167,167.7167,51.53,90,89,3.71
117,Itoman,JP,2021-04-21 07:25:34,26.1247,127.6694,75.0,83,75,16.11
118,Uman,UA,2021-04-21 07:25:34,48.7484,30.2218,49.53,70,76,9.6
119,Bahia Honda,CU,2021-04-21 07:25:35,22.9036,-83.1592,75.54,91,100,6.91
120,Hilo,US,2021-04-21 07:22:59,19.7297,-155.09,73.4,78,1,3.44
121,Unai,BR,2021-04-21 07:25:35,-16.3575,-46.9061,65.57,62,99,2.75
122,Ponta Do Sol,PT,2021-04-21 07:25:36,32.6667,-17.1,57.0,69,81,1.99
123,Richards Bay,ZA,2021-04-21 07:25:36,-28.783,32.0377,71.76,69,8,6.62
124,Hilton Head Island,US,2021-04-21 07:20:39,32.2163,-80.7526,64.99,100,1,6.06
