City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Lahaina,US,71.6,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
407,Mabaruma,GY,74.19,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
414,Port Hedland,AU,78.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
415,Henties Bay,,75,few clouds,-22.116,14.2845,Fishermans Guest House
416,Caxito,AO,86,few clouds,-8.5785,13.6643,
418,Richards Bay,ZA,80.98,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
421,Salvador,SV,71.6,overcast clouds,13.8333,-88.9167,Chico's Ranch
422,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
423,Kigoma,TZ,78.8,light rain,-4.8769,29.6267,MJI Mwema Lodge
424,Yekepa,LR,83.79,overcast clouds,7.5753,-8.5419,Alvino Hotel
430,Timbiqui,CO,73.24,moderate rain,2.7717,-77.6654,hotel diana
435,Namibe,AO,89.6,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
439,Maceio,BR,77,clear sky,-9.6658,-35.7353,Poutur Pousada
441,Les Cayes,HT,77.09,overcast clouds,18.2,-73.75,Villa Orphee
442,Meulaboh,ID,82.47,heavy intensity rain,4.1363,96.1285,Kost Pria
451,North Vanlaiphai,IN,82.58,clear sky,23.1333,93.0667,VL Lungmuana In
453,Cabatuan,PH,80.28,light rain,10.8794,122.486,ROREM'S BOARDING HOUSE
455,Omboue,GA,87.64,light rain,-1.5746,9.2618,Hotel Olako
462,Belmonte,BR,73.4,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
463,Trairi,BR,78.37,broken clouds,-3.2778,-39.2689,janelas do mar
465,Mazagao,BR,77,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
469,Sao Miguel Dos Campos,BR,77,clear sky,-9.7811,-36.0936,Pousada Campo Verde
474,Tshikapa,CD,84.47,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
480,Arona,ES,72,few clouds,28.0996,-16.681,Paradise Court
488,Murgab,TM,78.8,clear sky,37.4966,61.9714,
493,Oeiras Do Para,BR,76.62,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
496,Cuamba,MZ,77.61,overcast clouds,-14.8031,36.5372,Hotel Vision
497,Kuryk,KZ,78.21,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
500,Miracema Do Tocantins,BR,75,moderate rain,-9.5618,-48.3967,Miami Apart Hotel
503,Iracoubo,GF,77.31,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
507,Jiuquan,CN,73.26,scattered clouds,39.7432,98.5174,Jiuquan Hotel
509,Dzilam Gonzalez,MX,72.88,broken clouds,21.2833,-88.9333,posadas
510,Atar,MR,89.56,scattered clouds,20.5169,-13.0499,Oumou Elghoura
511,Buchanan,LR,87.8,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
512,Vera Cruz,BR,71.6,overcast clouds,-12.6333,-41.0333,
513,Namatanai,PG,81.75,broken clouds,-3.6667,152.4333,Namatanai Hotel
516,Mwanza,TZ,78.8,light rain,-2.5167,32.9,Gold Crest Hotel
520,Luena,AO,75.2,broken clouds,-11.7833,19.9167,Hotel Kandamba
526,Mari,BR,77,clear sky,-7.06,-35.3194,Pousada Itapemirim / Agência De Viajem
531,Vao,NC,73.99,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
534,Cap Malheureux,MU,82,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
535,Monrovia,LR,87.8,light rain,6.3005,-10.7969,Sunset Inn
536,Dawei,MM,84.52,scattered clouds,14.0833,98.2,Hotel Dawei
542,Panacan,PH,86,scattered clouds,9.2463,118.4082,Mom's Place Resort
543,Kishapu,TZ,79.48,overcast clouds,-3.6167,33.8667,Special seat Guest House
544,Jieshi,CN,72.73,clear sky,22.8134,115.8257,Yuehai Hotel
546,Alyangula,AU,78.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
549,Pemba,MZ,78.8,broken clouds,-12.974,40.5178,Guesthouse Samotina
551,Alta Floresta,BR,70.16,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
554,Walvis Bay,,87.8,overcast clouds,-22.9575,14.5053,Oyster Box Guesthouse
558,Shambu,ET,75.67,overcast clouds,9.5667,37.1,Wabe Hotel
559,Luanda,AO,86,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
565,Korla,CN,77,broken clouds,41.7597,86.1469,Gulisitan Hotel
566,Puerto Princesa,PH,86,scattered clouds,9.7392,118.7353,Deep Forest Garden Inn
567,Mareeba,AU,77,broken clouds,-17,145.4333,Trinity Plains Tourist Park
571,Casambalangan,PH,78.35,overcast clouds,18.3765,122.1274,Villa Saturnina
573,Sri Aman,MY,89.6,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
575,Padang,ID,84.2,light rain,-0.9492,100.3543,Mercure Padang
578,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
579,Moroni,KM,81.18,light rain,-11.7022,43.2551,Hotel les Arcades
582,Kendari,ID,76.93,overcast clouds,-3.945,122.4989,Hotel Wixel
585,Afua,BR,77.11,broken clouds,-0.1567,-50.3867,Hotel Dias
589,Manta,EC,74.41,overcast clouds,-0.95,-80.7333,Balandra Hotel
595,Amnat Charoen,TH,90,broken clouds,15.9167,104.75,หอพักนักศึกษา
596,Abha,SA,82.4,few clouds,18.2164,42.5053,Abha Hotel
598,Luderitz,,80.28,overcast clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
599,Veracruz,MX,77,overcast clouds,19.3333,-96.6667,El Carrizal
600,Matadi,CD,89.83,broken clouds,-5.8167,13.45,Hotel Vivi Palace
602,Mahebourg,MU,77,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
605,Feira De Santana,BR,71.92,light rain,-12.2667,-38.9667,Hotel Paraiso
608,Labuan,MY,82.4,few clouds,5.2767,115.2417,Tiara Labuan Hotel
613,Kidodi,TZ,79.54,light rain,-7.6036,37.0044,Royal Family Lodge
614,Pauini,BR,70.88,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
621,Cockburn Town,TC,77,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
626,Sao Jose De Ribamar,BR,75.2,broken clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
627,Caravelas,BR,73.78,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
628,Ercis,TR,73.4,broken clouds,39.0287,43.3586,Erciş Elit Otel
629,Vanimo,PG,79.56,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
632,Jalu,LY,79.27,scattered clouds,29.0331,21.5482,صاحبة الفخامة
634,Presidente Medici,BR,71.22,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
636,Uturoa,PF,82.29,light rain,-16.7333,-151.4333,Villa Tonoï
638,Colon,PA,75,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
640,Inirida,CO,72.95,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
641,Kabanjahe,ID,86,light rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
644,Salinopolis,BR,77.72,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
645,Basoko,CD,80.11,overcast clouds,1.2391,23.616,Flat Hotel La Benediction
647,Champoton,MX,74.61,overcast clouds,19.35,-90.7167,HOTEL Posada La Regia
650,Mayumba,GA,84.85,overcast clouds,-3.432,10.6554,LIKWALE LODGE
655,Bandar-E Lengeh,IR,84.2,haze,26.5579,54.8807,کافی نت پارس
659,Tamayo,DO,72.97,broken clouds,18.3947,-71.2029,Hotel del Valle
662,Ewa Beach,US,73.4,clear sky,21.3156,-158.0072,Uncle Junior Robert
666,Zhaozhou,CN,72.91,overcast clouds,45.6833,125.3167,East Hotel
669,Mogadishu,SO,85.89,overcast clouds,2.0371,45.3438,Hotel Juba
672,Moengo,SR,74.59,overcast clouds,5.6167,-54.4,Masanga
